Subject,Achieved
Eng A HL,4
Eng A SL,4
Span A SL,4
Span A SL,4
Span A SL,4
Span A HL,4
Span A HL,5
Span A SL,5
Span A SL,4
Eng A SL,5
Span A HL,4
Span A SL,6
Span A HL,3
Span A HL,3
Span A SL,5
Eng A HL,4
Span A HL,4
Span A SL,5
Span A HL,3
Span A SL,6
Span A HL,4
Span A HL,4
Span A SL,5
Span A SL,6
Span A HL,5
Span A SL,5
Span A SL,5
Span A SL,4
Span A HL,4
Eng A SL,5
Span A SL,5
Span A HL,4
Eng A SL,6
Eng A SL,5
Span A HL,5
Span A HL,4
Span A SL,5
Span A SL,5
Span A SL,4
Eng A SL,5
Span A HL,4
Span A SL,5
Fren B HL,5
Fren B HL,6
Eng B HL,5
Fren B HL,4
Fren B HL,4
Eng B SL,5
Eng B SL,6
Eng B SL,6
Eng A SL,4
Fren B HL,5
Eng B SL,5
Eng B SL,6
Eng B SL,5
Eng AB SL,5
Eng B SL,6
Span AB SL,5
Eng B HL,5
Eng B SL,6
Eng B SL,5
Eng B HL,6
Eng B SL,6
Eng A HL,4
Eng B SL,7
Eng A HL,5
Eng B SL,7
Eng A HL,5
Eng A HL,4
Eng A SL,4
Eng A HL,3
Fren B SL,6
Eng A SL,5
Eng B SL,6
Fren B SL,7
Fren B SL,6
Eng B SL,6
Eng B HL,6
Eng A SL,5
Eng A HL,5
Eng B HL,5
Fren B SL,6
Eng B HL,5
Eng A HL,5
Psy SL,5
His SL,5
Bus M HL,4
Bus M HL,4
Bus M HL,3
Bus M HL,4
Bus M HL,4
Econ SL,4
Econ SL,3
Econ SL,4
Bus M HL,4
Econ SL,5
Bus M HL,4
Bus M HL,3
Econ SL,4
Econ HL,2
His HL,4
Econ HL,5
Bus M HL,4
Bus M HL,5
Bus M HL,4
His HL,4
Econ SL,6
His HL,5
Bus M HL,4
Psy HL,3
Bus M HL,4
Econ SL,4
Bus M SL,3
Econ SL,6
Psy HL,5
Bus M HL,0
Econ HL,6
Econ SL,5
Psy SL,6
Psy SL,5
Econ HL,5
Psy HL,5
Bus M HL,4
Psy SL,7
His HL,4
His HL,4
Bio HL,5
Bio SL,5
ESS SL,2
ESS SL,3
Bio HL,3
ESS SL,3
ESS SL,4
Comp Sci HL,4
Comp Sci HL,3
Bio HL,4
ESS SL,3
Comp Sci HL,5
ESS SL,3
ESS SL,2
Comp Sci HL,5
Comp Sci HL,2
ESS SL,3
Bio HL,5
ESS SL,2
ESS SL,3
ESS SL,3
ESS SL,3
Comp Sci HL,5
ESS SL,5
ESS SL,3
ESS SL,3
ESS SL,3
Comp Sci HL,4
Bio HL,2
Comp Sci HL,5
Bio HL,5
ESS SL,2
Comp Sci HL,7
Bio HL,6
Bio HL,6
ESS SL,3
Comp Sci HL,5
ESS SL,4
ESS SL,2
Bio HL,6
Bio SL,3
Bio HL,4
Maths AA SL,5
Maths AA HL,4
Maths AI SL,4
Maths AI SL,4
Maths AA SL,4
Maths AI SL,4
Maths AI SL,3
Maths AA HL,4
Maths AA HL,3
Maths AA SL,5
Maths AI SL,3
Maths AA HL,5
Maths AI SL,3
Maths AI SL,2
Maths AA HL,3
Maths AI SL,2
Maths AA SL,3
Maths AI SL,6
Maths AA SL,3
Maths AI SL,4
Maths AI SL,4
Maths AI SL,3
Maths AA HL,5
Maths AI SL,5
Maths AI SL,4
Maths AI SL,2
Maths AI SL,3
Maths AA HL,4
Maths AI SL,2
Maths AA HL,6
Maths AI SL,6
Maths AI SL,2
Maths AA HL,7
Maths AA HL,4
Maths AI SL,7
Maths AI SL,2
Maths AA SL,4
Maths AI SL,5
Maths AI SL,3
Maths AA HL,6
Maths AI SL,5
Maths AI SL,4
Chem SL,5
Econ HL,5
Econ HL,3
Econ HL,4
Chem SL,3
Econ HL,3
Econ HL,3
Physics HL,3
Physics HL,4
Chem HL,4
Econ HL,3
Physics HL,5
Econ HL,3
Film HL,0
Physics HL,5
Art SL,4
Chem SL,2
Physics HL,5
Film HL,2
Econ HL,4
Econ HL,3
Film SL,5
Physics HL,4
Film HL,6
Film HL,4
Film HL,4
Econ HL,3
Physics HL,4
Chem SL,2
Physics HL,5
Art HL,5
Art HL,3
Film SL,6
Chem HL,4
Chem HL,6
Film HL,4
Physics HL,4
Film HL,6
Film HL,4
Chem HL,7
Film SL,4
Art SL,6
