Subject,Fail,Pass,Total Grades,Pass Percentage,Fail Percentage
Bus M SL,1.0,0.0,1.0,0.0,100.0
ESS SL,17.0,3.0,20.0,15.0,85.0
Chem SL,3.0,1.0,4.0,25.0,75.0
Econ HL,8.0,6.0,14.0,42.857,57.143
Art HL,1.0,1.0,2.0,50.0,50.0
Bio SL,1.0,1.0,2.0,50.0,50.0
Maths AI SL,12.0,13.0,25.0,52.0,48.0
Psy HL,1.0,2.0,3.0,66.667,33.333
Maths AA SL,2.0,4.0,6.0,66.667,33.333
Film HL,2.0,6.0,8.0,75.0,25.0
Bus M HL,3.0,12.0,15.0,80.0,20.0
Comp Sci HL,2.0,8.0,10.0,80.0,20.0
Bio HL,2.0,8.0,10.0,80.0,20.0
Span A HL,3.0,12.0,15.0,80.0,20.0
Maths AA HL,2.0,9.0,11.0,81.818,18.182
Econ SL,1.0,8.0,9.0,88.889,11.111
Eng A HL,1.0,8.0,9.0,88.889,11.111
Physics HL,1.0,8.0,9.0,88.889,11.111
Span A SL,0.0,19.0,19.0,100.0,0.0
His SL,0.0,1.0,1.0,100.0,0.0
Psy SL,0.0,4.0,4.0,100.0,0.0
Eng B SL,0.0,14.0,14.0,100.0,0.0
His HL,0.0,5.0,5.0,100.0,0.0
Fren B SL,0.0,4.0,4.0,100.0,0.0
Fren B HL,0.0,5.0,5.0,100.0,0.0
Film SL,0.0,3.0,3.0,100.0,0.0
Art SL,0.0,2.0,2.0,100.0,0.0
Eng B HL,0.0,6.0,6.0,100.0,0.0
Eng AB SL,0.0,1.0,1.0,100.0,0.0
Eng A SL,0.0,10.0,10.0,100.0,0.0
Chem HL,0.0,4.0,4.0,100.0,0.0
Span AB SL,0.0,1.0,1.0,100.0,0.0
