Additional Maths,Art and Design,Business Studies,Co-ord Science,Combined Science,Computer Science,English 2nd Lang,English 1st Lang,Spanish 1st Lang,Arabic,French,Spanish Foreign Lang,Geography,History,English Literature,Maths
A*,,A*,A*,,A*,,A,A*,,,,,A*,A,
,,A*,A*,,A*,,B,A*,,A*,,,,B,A*
,C,C,B,,,,C,A,,A,,,,B,B
,,A,A,,A,,A,A,,A*,,,,C,A
,,A*,A,,,,A,A*,,A*,,A*,,A,A*
,,D,D,,E,,E,C,,B,,,,,C
A,,A*,A*,,A*,,A,A,,,,,A*,B,
,F,G,,C,,,E,C,,,,,,,C
,,A*,A*,,A*,,A,A*,,A*,,,,A,A*
,,C,C,,C,,C,B,,A*,,,,C,C
,C,D,D,,,,C,B,,A*,,,,B,C
,,C,D,,C,,C,B,,,,D,,,D
,,A,A*,,A*,,A,,,,,,A*,C,A*
,,B,B,,B,,B,,,,,,A*,C,A
,D,B,C,,,,B,B,,A,,,,C,C
,,A*,A,,A,,C,A,,A*,,,,B,A
,,C,C,,,,C,B,,B,,,B,C,D
,B,C,C,,C,,A*,B,,,,,,C,C
,,A*,A*,,A,,B,A,,,,,B,C,A*
,,C,D,,C,,B,A,,A,,,,,C
,,B,B,,C,,C,A,,B,,,,C,A
,B,,D,,D,,A,A,,,,C,,A*,C
,D,E,D,,,,C,,,,A,,F,B,C
,D,C,F,,C,,C,C,,,,,,C,C
,,B,C,,,,B,A*,,A,,,C,C,C
,,A,A,,A,,B,A,,A*,,,,B,A
,D,B,B,,,,A,A,,A*,,,,A,B
,D,,,E,G,,B,B,,,,E,,B,F
,,F,,E,,,E,D,,C,,D,,,C
,B,A,A,,,,B,B,,A*,,,,C,A
,,A,C,,B,,B,B,,B,,,,B,C
,,,C,,,,B,A,,A*,,B,B,B,B
,,C,C,,,,C,B,,A,,,C,C,C
,,C,B,,B,,C,B,,A,,,,C,A
,,B,B,,B,,B,A,,A,,,,A,C
,C,B,B,,A,,B,,,,A*,,,B,B
,A,A,A,,,,A*,A*,,A*,,,,A*,A
,,C,C,,,,B,A,,B,,D,,C,E
,C,A,A,,,,A*,B,,,,,A*,B,A
,,C,C,,B,,B,B,,A,,,,D,A
,B,,A,,,,A,A,,A*,,,A*,A,A
,,B,A,,B,,C,D,,,,B,,C,A
,,A*,A*,,A*,,B,A,,A*,,,,A,A*
,,D,C,,D,,C,C,,A,,,,C,C
,B,C,C,,C,,C,C,,,,,,B,D
,,A*,B,,B,,C,B,,,,B,,B,A
,,,C,,,,C,B,,B,,,,D,B
,,A,A,,,,C,B,,A*,,B,,B,A
,,U,,F,,D,,C,,B,,G,,,C
,,G,,E,,D,,C,,C,,E,,,C
,,,,G,U,F,,,,,A*,G,,,G
,D,,C,,C,,C,D,,,,E,,G,C
,B,,B,,C,,D,C,,,,C,,B,C
,,A,A*,,A*,,A,A,,,,A,,B,A*
,,E,,F,,D,,C,,B,,E,,,D
,,A,B,,B,,C,,,,,,C,,B
,A,,C,,C,,B,B,,A,,,,B,C
,,,,G,,D,,,A*,A*,A,G,,,F
,F,,,,,,,,,,,,,,
,,A,A,,B,,B,B,,,,B,,B,A*
