Subject,Fails,Passes,Total Grades,Pass Percentage,Fail Percentage
English 2nd Lang,5.0,0.0,5.0,0.0,100.0
Combined Science,7.0,1.0,8.0,12.5,87.5
Geography,10.0,9.0,19.0,47.368,52.632
Art and Design,8.0,12.0,20.0,60.0,40.0
Business Studies,9.0,40.0,49.0,81.633,18.367
Maths,8.0,49.0,57.0,85.965,14.035
Computer Science,5.0,31.0,36.0,86.111,13.889
Co-ord Science,7.0,44.0,51.0,86.275,13.725
History,1.0,12.0,13.0,92.308,7.692
English 1st Lang,4.0,50.0,54.0,92.593,7.407
English Literature,3.0,45.0,48.0,93.75,6.25
Spanish 1st Lang,3.0,49.0,52.0,94.231,5.769
Additional Maths,0.0,2.0,2.0,100.0,0.0
Arabic,0.0,1.0,1.0,100.0,0.0
French,0.0,36.0,36.0,100.0,0.0
Spanish Foreign Lang,0.0,4.0,4.0,100.0,0.0
